46042,AU,5,Modbury,,-34.8333,138.6833
46137,AU,4,Bundaberg,,-24.8662,152.3479
47238,AU,8,Glen Iris,,-33.3417,115.6667
47242,AU,2,Byron Bay,,-28.642,153.6119
47267,AU,4,Bancroft,,-24.7833,151.2333
47313,AU,2,Mittagong,,-34.45,150.4457
47343,AU,4,Port Douglas,,-16.4838,145.4673
47614,AU,5,Hindmarsh,,-34.9014,138.575
47623,AU,2,Potts Point,,-33.8667,151.2167
47629,AU,2,Euston,,-34.5744,142.7448
47650,AU,2,Ramsgate,,-33.9833,151.15
47652,AU,7,Brunswick,,-37.7667,144.9667
47668,AU,2,Tweed Heads,,-28.1756,153.542
47669,AU,2,Nowra,,-34.8842,150.6004
47787,AU,2,Artarmon,,-33.8167,151.1833
47861,AU,4,Pine Hill,,-23.65,146.9667
47892,AU,7,Barkly,,-36.9333,143.2
47897,AU,7,Preston,,-37.75,145.0167
47935,AU,7,Ascot,,-36.7,144.3333
53398,AU,2,Federal,,-28.65,153.45
53399,AU,2,Bankstown,,-33.9167,151.0333
53503,AU,2,Blacktown,,-33.7667,150.9167
53504,AU,5,Avenue,,-36.9667,140.2333
54127,AU,7,Fielder,,-37.95,145.5167
54128,AU,2,Weston,,-32.811,151.4366
54271,AU,1,Tuggeranong,,-35.4333,149.15
54272,AU,8,Pioneer,,-31.8,121.7167
54857,AU,2,Edith,,-33.8,149.9167
55012,AU,5,Smithfield,,-34.6833,138.6833
55209,AU,2,Liverpool,,-33.9,150.9333
55210,AU,7,Mount Waverley,,-37.8833,145.1333
55739,AU,6,Hobart,,-42.8832,147.3317
55740,AU,7,Campbellfield,,-37.6833,144.95
55741,AU,5,Virginia,,-34.6663,138.5603
55742,AU,4,Howard,,-25.3193,152.5599
55796,AU,7,Coburg,,-37.75,144.9667
55797,AU,8,Bowes,,-28.3833,114.6667
56351,AU,6,Bell Bay,,-41.1167,146.8667
57573,AU,2,Villawood,,-33.8833,150.9667
59121,AU,7,Footscray,,-37.8,144.9
59224,AU,7,Homebush,,-37.05,143.5333
59533,AU,5,Cook,,-30.6167,130.4167
59534,AU,2,Wellington,,-32.5559,148.9451
59803,AU,7,Altona,,-37.8667,144.8333
62175,AU,2,Bourke,,-30.0901,145.9454
64058,AU,4,Lytton,,-27.4167,153.1667
64059,AU,2,Lambton,,-32.9167,151.7
64061,AU,2,Young,,-34.3135,148.3011
66211,AU,4,Miles,,-26.6584,150.1882
66215,AU,2,Wollongong,,-34.424,150.8934
68297,AU,2,Kurri Kurri,,-32.8193,151.4791
77018,AU,2,Clovelly,,-33.9125,151.25
77534,AU,2,Abbotsford,,-33.85,151.1333
89134,AU,7,Myer,,-36.6833,144.2
103980,AU,5,Prospect,,-34.8833,138.5833
103981,AU,4,Rockhampton,,-23.3803,150.506
103982,AU,7,Bendigo,,-36.7582,144.2802
103983,AU,2,Parkville,,-31.9833,150.8667
103984,AU,6,Plenty,,-42.7333,146.9667
103985,AU,4,Sunnybank,,-27.5833,153.05
103986,AU,8,Wembley,,-31.9333,115.8
103987,AU,5,Keith,,-36.0991,140.3531
103988,AU,7,Morwell,,-38.2348,146.395
103989,AU,7,Camperdown,,-38.2339,143.1498
103990,AU,4,Aitkenvale,,-19.2833,146.8
104005,AU,7,Valhalla,,-37.95,146.45
104014,AU,7,Research,,-37.7,145.1833
104015,AU,5,Georgetown,,-33.3667,138.4
104016,AU,2,Port Kembla,,-34.4667,150.9
104017,AU,2,East Maitland,,-32.75,151.5833
104018,AU,7,Fitzroy,,-37.7833,144.9833
104019,AU,2,Roseville,,-33.7833,151.1833
104020,AU,7,Essendon,,-37.7667,144.9167
104021,AU,7,Doncaster East,,-37.7833,145.1667
104022,AU,2,Osborne,,-35.3667,146.7167
104023,AU,8,Subiaco,,-31.95,115.8
104024,AU,2,Wagga Wagga,,-35.1258,147.3537
104096,AU,1,Belconnen,,-35.2167,149.0833
104097,AU,3,Darwin,,-12.4572,130.8366
104098,AU,4,Townsville,,-19.2664,146.8057
104099,AU,7,Kingston,,-37.35,143.9667
104100,AU,2,Collaroy,,-33.7333,151.3
104101,AU,7,Donald,,-36.3686,142.9811
104102,AU,5,Bruce,,-32.4667,138.2
104103,AU,2,Tottenham,,-32.2431,147.3559
104104,AU,2,Greenwich,,-33.8406,151.1831
104105,AU,2,Westmead,,-33.8167,150.9833
104106,AU,2,Drummoyne,,-33.8536,151.1542
104107,AU,5,Clapham,,-34.9914,138.6
104150,AU,6,Mona Vale,,-42.0833,147.5
104151,AU,2,Aberfoyle,,-30.2667,152.0167
104152,AU,4,Wynnum,,-27.45,153.1667
104153,AU,5,Hahndorf,,-35.0297,138.8108
104154,AU,7,Sandringham,,-37.95,145
104227,AU,7,Baxter,,-38.2,145.15
104302,AU,5,Findon,,-34.9,138.5333
104366,AU,7,Belmont,,-38.1667,144.35
104658,AU,2,Bowral,,-34.4775,150.4204
104659,AU,7,Malvern,,-37.8667,145.0333
104660,AU,6,Launceston,,-41.4388,147.1347
104661,AU,5,Mount Gambier,,-37.8318,140.7792
104662,AU,7,Frankston East,,-38.1333,145.1333
104663,AU,7,Sinclair,,-38.0833,141.55
104664,AU,8,Kelmscott,,-32.1167,116.0167
104665,AU,4,Mudgeeraba,,-28.0833,153.3667
104666,AU,4,Acacia Ridge,,-27.5833,153.0333
104667,AU,5,Sturt,,-35.0167,138.55
104668,AU,7,Caulfield,,-37.8833,145.0167
104669,AU,2,Wahroonga,,-33.7167,151.1167
104670,AU,2,Menai,,-34.0167,151.0167
104671,AU,7,Hampton Park,,-38.0333,145.25
104672,AU,7,Blackwood,,-37.4722,144.3053
104673,AU,7,Canadian,,-37.5833,143.8833
104674,AU,4,Yandina,,-26.5616,152.9559
104675,AU,7,Frankston,,-38.1333,145.1167
104676,AU,7,Armadale,,-37.85,145.0167
104677,AU,2,Griffith,,-34.2885,146.0509
104678,AU,2,Ashfield,,-33.8833,151.1167
104679,AU,7,Lindsay,,-37.6333,140.9667
104680,AU,2,Orange,,-33.2831,149.1
104681,AU,2,Fairfield,,-33.8667,150.95
104682,AU,2,Watsons Bay,,-33.85,151.2833
104683,AU,5,Kensington,,-34.9167,138.65
104684,AU,7,Campbell,,-35.3,149.15
104685,AU,7,Tatura,,-36.4396,145.2299
104686,AU,7,Maffra,,-37.9713,146.9837
104687,AU,2,Milton,,-35.3164,150.4361
104688,AU,5,Semaphore,,-34.8333,138.4833
104689,AU,5,Keswick,,-34.9333,138.5667
104690,AU,2,Singleton,,-32.5674,151.166
104691,AU,7,Guildford,,-37.1667,144.1667
104692,AU,7,Prahran,,-37.85,145
104693,AU,2,Gladesville,,-33.8333,151.1333
104694,AU,4,Dalby,,-27.1817,151.2621
104695,AU,7,Burleigh,,-37.8333,145.4333
104696,AU,7,Wantirna South,,-37.8833,145.2167
104697,AU,7,Waterloo,,-37.3667,143.4167
104698,AU,2,Mascot,,-33.9333,151.2
104699,AU,7,Mortlake,,-38.081,142.8083
104700,AU,7,Oakleigh,,-37.9,145.1
104701,AU,5,Woodville,,-34.8833,138.55
104702,AU,4,Coorparoo,,-27.5,153.05
104703,AU,2,Berowra,,-33.6333,151.15
104704,AU,7,Douglas,,-37.0333,141.7333
104705,AU,7,Southern Cross,,-38.3,142.4
104706,AU,4,Invicta,,-24.8167,152.1333
104707,AU,2,Parkes,,-33.1372,148.1759
104708,AU,7,Elsternwick,,-37.8833,145
104709,AU,2,Cooma,,-36.2347,149.126
104710,AU,7,Traralgon,,-38.1953,146.5415
104711,AU,7,Croydon,,-37.8,145.2833
104712,AU,2,Robertson,,-34.5874,150.5912
104713,AU,2,Richlands,,-34.3167,149.8167
104714,AU,7,Cheltenham,,-37.9667,145.0667
104715,AU,2,Lismore,,-28.8133,153.2758
104716,AU,4,Redland Bay,,-27.61,153.3016
104717,AU,4,Crows Nest,,-27.2599,152.0516
104718,AU,6,Aspley,,-42.4333,147.1333
104719,AU,8,Williams,,-33.028,116.8792
104720,AU,7,Laverton,,-37.85,144.75
